"113967","-104.96318526","39.95928173","2001","","East","","144Th","Way","",""," ","2001 East 144Th Way ","","","Adams"
"113968","-104.96226526","39.95961505","2082","","East","","145Th","Avenue","",""," ","2082 East 145Th Avenue ","","","Adams"
"113969","-104.96001469","39.95806","14402",""," ","","Claude","Court","",""," ","14402 Claude Court ","","","Adams"
"113970","-104.96315531","39.95838595","2057","","East","","144Th","Place","",""," ","2057 East 144Th Place ","","","Adams"
"113971","-104.96465396","39.95884416","1926","","East","","144Th","Way","",""," ","1926 East 144Th Way ","","","Adams"
"113972","-104.9636911","39.95926498","1983","","East","","144Th","Way","",""," ","1983 East 144Th Way ","","","Adams"
"113973","-104.95208824","39.96608357","14944",""," ","","Fillmore","Way","",""," ","14944 Fillmore Way ","","","Adams"
"113974","-104.95563969","39.96549471","14815",""," ","","Fillmore","Way","",""," ","14815 Fillmore Way ","","","Adams"
"113975","-104.95427852","39.96639771","3033","","East","","148Th","Place","",""," ","3033 East 148Th Place ","","","Adams"
"113976","-104.95549258","39.96497566","14824",""," ","","Fillmore","Way","",""," ","14824 Fillmore Way ","","","Adams"
"113977","-104.9551578","39.96510893","14844",""," ","","Fillmore","Way","",""," ","14844 Fillmore Way ","","","Adams"
"113978","-104.96406776","39.95793403","1972","","East","","144Th","Drive","",""," ","1972 East 144Th Drive ","","","Adams"
"113979","-104.96188124","39.96012506","14530",""," ","","Vine","Street","",""," ","14530 Vine Street ","","","Adams"
"113980","-104.95374662","39.9654796","3004","","East","","148Th","Place","",""," ","3004 East 148Th Place ","","","Adams"
"113981","-104.95452582","39.96584329","3013","","East","","148Th","Place","",""," ","3013 East 148Th Place ","","","Adams"
"113982","-104.95369181","39.96500135","2992","","East","","148Th","Place","",""," ","2992 East 148Th Place ","","","Adams"
"113983","-104.95435229","39.96476001","2943","","East","","148Th","Place","",""," ","2943 East 148Th Place ","","","Adams"
"113984","-104.95434762","39.96505232","14884",""," ","","Fillmore","Way","",""," ","14884 Fillmore Way ","","","Adams"
"113985","-104.95478177","39.9651083","14864",""," ","","Fillmore","Way","",""," ","14864 Fillmore Way ","","","Adams"
"113986","-104.95623777","39.96653083","2623","","East","","149Th","Avenue","",""," ","2623 East 149Th Avenue ","","","Adams"
"113987","-104.96184489","39.96028435","14544",""," ","","Vine","Street","",""," ","14544 Vine Street ","","","Adams"
"113988","-104.96131841","39.96044038","14541",""," ","","Gaylord","Street","",""," ","14541 Gaylord Street ","","","Adams"
"113989","-104.95380002","39.96576989","3014","","East","","148Th","Place","",""," ","3014 East 148Th Place ","","","Adams"
"113990","-104.95661226","39.96671558","2603","","East","","149Th","Avenue","",""," ","2603 East 149Th Avenue ","","","Adams"
"113991","-104.95621728","39.96718318","14946",""," ","","Elizabeth","Street","",""," ","14946 Elizabeth Street ","","","Adams"
"113992","-104.96254899","39.95838373","2093","","East","","144Th","Place","",""," ","2093 East 144Th Place ","","","Adams"
"113993","-104.96051931","39.95902528","14445",""," ","","Claude","Court","",""," ","14445 Claude Court ","","","Adams"
"113994","-104.95996915","39.95903467","14450",""," ","","Claude","Court","",""," ","14450 Claude Court ","","","Adams"
"113995","-104.95796914","39.96770442","14993",""," ","","Columbine","Street","",""," ","14993 Columbine Street ","","","Adams"
"113996","-104.95373619","39.96682861","3053","","East","","148Th","Place","",""," ","3053 East 148Th Place ","","","Adams"
"113997","-104.9523818","39.96716839","14984",""," ","","Fillmore","Way","",""," ","14984 Fillmore Way ","","","Adams"
"113998","-104.95280723","39.96651147","3074","","East","","148Th","Place","",""," ","3074 East 148Th Place ","","","Adams"
"113999","-104.95496038","39.96744744","15038",""," ","","Clayton","Street","",""," ","15038 Clayton Street ","","","Adams"
"114000","-104.95296242","39.96702047","3073","","East","","148Th","Place","",""," ","3073 East 148Th Place ","","","Adams"
"114001","-104.96464627","39.9613397","14624",""," ","","Williams","Street","",""," ","14624 Williams Street ","","","Adams"
"114002","-104.96274544","39.95965451","2046","","East","","145Th","Avenue","",""," ","2046 East 145Th Avenue ","","","Adams"
"114003","-104.96251883","39.95972548","2064","","East","","145Th","Avenue","",""," ","2064 East 145Th Avenue ","","","Adams"
"114004","-104.96630051","39.95797814","1846","","East","","144Th","Drive","",""," ","1846 East 144Th Drive ","","","Adams"
"114005","-104.96472447","39.95927829","1911","","East","","144Th","Way","",""," ","1911 East 144Th Way ","","","Adams"
"114006","-104.96461802","39.95971058","1920","","East","","145Th","Avenue","",""," ","1920 East 145Th Avenue ","","","Adams"
"114007","-105.01144907","39.96465782","14781",""," ","","Tejon","Street","",""," ","14781 Tejon Street ","","","Adams"
"114008","-105.01148508","39.96420077","14761",""," ","","Tejon","Street","",""," ","14761 Tejon Street ","","","Adams"
