280000,005-001785-306177,NULL,-104.79376190,39.68454032,1785, ,South, ,Olathe,Street, ,NULL, ,1785 South Olathe Street ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C6008B2FECC325AC048E46B049FD74340
280001,005-001730-306178,NULL,-104.90434279,39.68509812,1730, ,South, ,Poplar,Street, ,NULL, ,1730 South Poplar Street ,Denver Co,80224, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C74A291C0E0395AC0003D874BB1D74340
280002,005-001836-306179,NULL,-104.78575610,39.68452539,1836, ,South, ,Quintero,Way, ,Unit,118,1836 South Quintero Way Unit 118,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C98F5F2D349325AC0B0ED1E879ED74340
280003,005-018857-306180,NULL,-104.76783622,39.68432675,18857, ,East, ,Montana,Drive, ,NULL, ,18857 East Montana Drive ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CC4C38C3A24315AC05812D30498D74340
280004,005-018897-306181,NULL,-104.76757815,39.68432858,18897, ,East, ,Montana,Drive, ,NULL, ,18897 East Montana Drive ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C94101E0020315AC0401D2F1498D74340
280005,005-001784-306182,NULL,-104.79411866,39.68453819,1784, ,South, ,Nucla,Street, ,NULL, ,1784 South Nucla Street ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C742A0ED7D2325AC0284F87F29ED74340
280006,005-001786-306183,NULL,-104.79323643,39.68452703,1786, ,South, ,Olathe,Street, ,NULL, ,1786 South Olathe Street ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CA081BF62C4325AC0C018E5949ED74340
280007,005-001787-306184,NULL,-104.79288885,39.68452765,1787, ,South, ,Ouray,Street, ,NULL, ,1787 South Ouray Street ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CBC52E4B0BE325AC06020219A9ED74340
280008,005-001777-306185,NULL,-104.78500310,39.68442427,1777, ,South, ,Salida,Circle, ,NULL, ,1777 South Salida Circle ,Aurora Co,80017, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CC84AA27D3D325AC0D0F8E5369BD74340
280009,005-001750-306186,NULL,-104.86263213,39.68486391,1750, ,South, ,Ironton,Street, ,NULL, ,1750 South Ironton Street ,Aurora Co,80012, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C488F625D35375AC0D8AEDD9EA9D74340
