420000,005-005616-446177,NULL,-105.01007554,39.61479774,5616, ,South, ,Prescott,Street, ,NULL, ,5616 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C84B2E013A5405AC0401146B1B1CE4340
420001,005-006164-446178,NULL,-105.01049788,39.60493686,6164, ,South, ,Prescott,Street, ,NULL, ,6164 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C600A50FFAB405AC0388337926ECD4340
420002,005-006174-446179,NULL,-105.01046216,39.60486466,6174, ,South, ,Prescott,Street, ,NULL, ,6174 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C08B07969AB405AC0A0DD7B346CCD4340
420003,005-006173-446180,NULL,-105.01091950,39.60474988,6173, ,South, ,Prescott,Street, ,NULL, ,6173 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CC0EBB4E7B2405AC060DFB47168CD4340
420004,005-006179-446181,NULL,-105.01088908,39.60465901,6179, ,South, ,Prescott,Street, ,NULL, ,6179 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CD0B11D68B2405AC0502E717765CD4340
420005,005-006183-446182,NULL,-105.01083546,39.60451727,6183, ,South, ,Prescott,Street, ,NULL, ,6183 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CD06F3487B1405AC0B8F663D260CD4340
420006,005-006189-446183,NULL,-105.01081355,39.60444245,6189, ,South, ,Prescott,Street, ,NULL, ,6189 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C441F542BB1405AC038F1BC5E5ECD4340
420007,005-006190-446184,NULL,-105.01031919,39.60442729,6190, ,South, ,Prescott,Street, ,NULL, ,6190 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C1030D611A9405AC018AE99DF5DCD4340
420008,005-006194-446185,NULL,-105.01028058,39.60435774,6194, ,South, ,Prescott,Street, ,NULL, ,6194 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CEC7FDD6FA8405AC0F8BF25985BCD4340
420009,005-006199-446186,NULL,-105.01086726,39.60421347,6199, ,South, ,Prescott,Street, ,NULL, ,6199 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C2080960CB2405AC0402BF9DD56CD4340
420010,005-006193-446187,NULL,-105.01075857,39.60429664,6193, ,South, ,Prescott,Street, ,NULL, ,6193 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CD0DEBA44B0405AC0C8ADAB9759CD4340
420011,005-006184-446188,NULL,-105.01039049,39.60465598,6184, ,South, ,Prescott,Street, ,NULL, ,6184 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C709CDE3CAA405AC07028045E65CD4340
420012,005-006203-446189,NULL,-105.01088320,39.60406673,6203, ,South, ,Prescott,Street, ,NULL, ,6203 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C3C63784FB2405AC0981F030F52CD4340
