540000,013-000000-091254,NULL,-105.27165511,40.01459381, ,NULL, ,NULL,St, ,NULL, , , St ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD4AD22CC62515AC008E5B935DE014440
540001,013-003101-091255,NULL,-105.25222613,40.02743874,3101,NULL, ,NULL,Iron,Place,NULL, ,205,3101 Iron Place 205,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C9C1B147924505AC0889ED71C83034440
540002,013-003871-091256,NULL,-105.25278861,40.04511793,3871,NULL, ,NULL,Arbol, ,NULL, , ,3871 Arbol , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CF44248B02D505AC0989C9C6CC6054440
540003,013-003850-091257,NULL,-105.25615695,40.04459322,3850,NULL, ,NULL,Prado, ,NULL, ,12,3850 Prado 12, ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CA80423E064505AC0002C023BB5054440
540004,013-003511-091258,NULL,-105.24788940,40.03485234,3511,NULL, ,NULL,Spring,Place,NULL, , ,3511 Spring Place ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CB86E7F6BDD4F5AC060CD970A76044440
540005,013-004300-091259,NULL,-105.24630793,40.04744552,4300,NULL, ,NULL,St, ,NULL, , ,4300 St ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CB4A75082C34F5AC078AAE2B112064440
540006,013-005365-091260,NULL,-105.22769565,40.00953967,5365,NULL, ,NULL,Gallatin, ,NULL, , ,5365 Gallatin ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C209FC790924E5AC0D87A8F9838014440
540007,013-003210-091261,NULL,-105.24363708,40.03218219,3210,NULL, ,NULL,47Th, ,NULL, , ,3210 47Th ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C18D2FCBF974F5AC0F0EDC88B1E044440
540008,013-003045-091262,NULL,-105.24008314,40.02953680,3045,NULL, ,NULL,Kings,Boulevard,NULL, , ,3045 Kings Boulevard ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C9CBAAD855D4F5AC068929CDCC7034440
540009,013-004566-091263,NULL,-105.20976151,40.05762773,4566,NULL, ,NULL,Robinson, ,NULL, , ,4566 Robinson , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD8928DBB6C4D5AC070FE715860074440
