620000,029-001563-036677,NULL,-108.07158225,38.76238941,1563, , ,NULL,H50,Road, ,NULL, ,1563 H50 Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C4487E3A094045BC0E0DCF7C695614340
620001,029-001566-036678,NULL,-108.07162449,38.76274443,1566, , ,NULL,H50,Road, , , ,1566 H50 Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C8C160A5295045BC0609F0A69A1614340
620002,029-001570-036679,NULL,-108.07087979,38.76284308,1570, , ,NULL,H50,Road, , , ,1570 H50 Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CC0D88E1E89045BC0B8EAA2A4A4614340
620003,029-012241-036680,NULL,-107.96048884,38.83193129,12241, , ,NULL,2165,Road, , , ,12241 2165 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C3C056C7978FD5AC0B05354867C6A4340
620004,029-012244-036681,NULL,-107.95916614,38.83212996,12244, , ,NULL,2165,Road, , , ,12244 2165 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C1C14A3CD62FD5AC0C860FA08836A4340
620005,029-000045-036682,NULL,-107.61503952,38.70202695,45, , ,NULL,K,Street, , , ,45 K Street ,Crawford,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C6CB355A25CE75AC020EEB7D1DB594340
620006,029-009108-036683,NULL,-107.99214997,38.78510306,9108, , ,NULL,1995,Road, ,NULL, ,9108 1995 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CBC20CE357FFF5AC0B033C80E7E644340
620007,029-009198-036684,NULL,-107.99060051,38.78626116,9198, , ,NULL,1995,Road, ,NULL, ,9198 1995 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C8C6AEAD265FF5AC0C09AA901A4644340
620008,029-009261-036685,NULL,-107.97645042,38.78843942,9261, , ,NULL,2075,Road, ,NULL, ,9261 2075 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C30A22CFD7DFE5AC060DC2562EB644340
620009,029-000924-036686,NULL,-107.72325581,38.80952386,924, , ,NULL,Birch,Lane, ,NULL, ,924 Birch Lane ,Hotchkiss,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CA06F30A649EE5AC0902F17479E674340
620010,029-009104-036687,NULL,-107.99273278,38.78504088,9104, , ,NULL,1995,Road, ,NULL, ,9104 1995 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CAC9949C288FF5AC0701C34057C644340
620011,029-009107-036688,NULL,-107.99267717,38.78554050,9107, , ,NULL,1995,Road, ,NULL, ,9107 1995 Road ,Austin,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C884211D987FF5AC0284D49648C644340
620012,029-000891-036689,NULL,-108.04394632,38.73571178,891, , ,NULL,Rainbow,Street, ,NULL, ,891 Rainbow Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CB4AC74D7CF025BC018C9BC9A2B5E4340
620013,029-024805-036690,NULL,-107.89848572,38.88588093,24805,NULL,NULL,NULL,Summit,Court,NULL,NULL,NULL,24805 Summit Court,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C4CAB889D80F95AC058BFB15864714340
620014,029-000520-036691,NULL,-107.92900129,38.90084645,520, ,West,NULL,Main,Street, , , ,520 West Main Street ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C90930F9574FB5AC0687E88BC4E734340
620015,029-000520-036692,NULL,-108.07615538,38.73940669,520, , ,NULL,Silver,Street, , , ,520 Silver Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C9C9FFE8DDF045BC0E0E2E7ADA45E4340
620016,029-000520-036693,NULL,-107.92208273,38.89504237,520, ,South East,NULL,Stonebridge,Drive, , , ,520 South East Stonebridge Drive ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CD8DB8B3A03FB5AC0E0285B8C90724340
620017,029-000520-036694,NULL,-107.92401827,38.89494691,520, ,South East,NULL,2Nd,Street, , , ,520 South East 2Nd Street ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CBC2ECBF022FB5AC0A81B9F6B8D724340
620018,029-000520-036695,NULL,-107.92653554,38.89608474,520, ,South,NULL,Grand Mesa,Drive, , , ,520 South Grand Mesa Drive ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C28E5F72E4CFB5AC0680477B4B2724340
620019,029-000520-036696,NULL,-108.05499805,38.74043942,520, , ,NULL,Riley,Lane, ,NULL, ,520 Riley Lane ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C9097B9E984035BC098431B85C65E4340
620020,029-039582-036697,NULL,-107.61857922,38.85503726,39582, , ,NULL,Hadley,Street, ,NULL, ,39582 Hadley Street ,Paonia,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CF43BD5A096E75AC050AE0FA9716D4340
620021,029-000520-036698,NULL,-107.91824748,38.91736887,520, ,North East,NULL,Ginters Grove,Lane, , , ,520 North East Ginters Grove Lane ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C5C745664C4FA5AC068F99E246C754340
620022,029-000516-036699,NULL,-107.91821802,38.91780123,516, ,North East,NULL,Ginters Grove,Lane, , , ,516 North East Ginters Grove Lane ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C346EBDE8C3FA5AC0984C894F7A754340
620023,029-000578-036700,NULL,-107.91769511,38.91729364,578, ,North East,NULL,Ginters Grove,Lane, , , ,578 North East Ginters Grove Lane ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C64638357BBFA5AC0C0A189AD69754340
