670000,031-001001-354351,NULL,-104.99455652,39.74797586,1001,NULL,NULL,NULL,16Th,Street,NULL,NULL,NULL,1001 16Th Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD0D254D0A63F5AC0A05AC4B7BDDF4340
670001,031-002200-354352,NULL,-104.93395054,39.67648850,2200,NULL,South,NULL,Cherry,Street,NULL,NULL,NULL,2200 South Cherry Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C7084E9D4C53B5AC0385BB02997D64340
670002,031-002224-354353,NULL,-104.89149122,39.74961634,2224,NULL,North,NULL,Valentia,Street,NULL,NULL,NULL,2224 North Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC46517370E395AC0108C8C73F3DF4340
670003,031-002272-354354,NULL,-104.89149740,39.75048963,2272,NULL,North,NULL,Valentia,Street,NULL,NULL,NULL,2272 North Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C008E11440E395AC030D6EB0E10E04340
670004,031-002204-354355,NULL,-104.89137768,39.74934514,2204,NULL,North,NULL,Valentia,Street,NULL,NULL,NULL,2204 North Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C7416BF540C395AC0003FAD86EADF4340
670005,031-002254-354356,NULL,-104.89127811,39.75014534,2254,NULL,North,NULL,Valentia,Street,NULL,NULL,NULL,2254 North Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C5074BCB30A395AC00848D7C604E04340
670006,031-002244-354357,NULL,-104.89136295,39.74997419,2244,NULL,North,NULL,Valentia,Street,NULL,NULL,NULL,2244 North Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C34001D110C395AC0881B9F1FFFDF4340
670007,031-003323-354358,NULL,-105.03058036,39.77698162,3323,NULL,West,NULL,44Th,Avenue,NULL,NULL,NULL,3323 West 44Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC04D5007F5415AC0A80A402274E34340
670008,031-003331-354359,NULL,-105.03080336,39.77821512,3331,NULL,West,NULL,45Th,Avenue,NULL,NULL,NULL,3331 West 45Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20A8A3AEF8415AC01088908D9CE34340
670009,031-003333-354360,NULL,-105.03080336,39.77821512,3333,NULL,West,NULL,45Th,Avenue,NULL,NULL,NULL,3333 West 45Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20A8A3AEF8415AC01088908D9CE34340
670010,031-000693-354361,NULL,-105.03827324,39.70418930,693,NULL,South,NULL,Osceola,Street,NULL,NULL,NULL,693 South Osceola Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC8EF920A73425AC080E3DAD922DA4340
