680000,031-001011-364351,NULL,-104.89340161,39.69857906,1011,NULL,South,NULL,Valentia,Street,NULL,NULL,NULL,1011 South Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C941991832D395AC080C055016BD94340
680001,031-001011-364352,NULL,-104.89328674,39.69868941,1011,NULL,South,NULL,Valentia,Street,NULL,#,NULL,1011 South Valentia Street #,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C30CC87A22B395AC0F8E792AC6ED94340
680002,031-001011-364353,NULL,-104.89318047,39.69876028,1011,NULL,South,NULL,Valentia,Street,NULL,NULL,NULL,1011 South Valentia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C3C76C6E029395AC04095B4FE70D94340
680003,031-002533-364354,NULL,-104.95669104,39.73385184,2533,NULL,East,NULL,11Th,Avenue,NULL,Unit,102,2533 East 11Th Avenue Unit 102,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C0C02ED6C3A3D5AC0C063F7D8EEDD4340
680004,031-002533-364355,NULL,-104.95674631,39.73388927,2533,NULL,East,NULL,11Th,Avenue,NULL,Unit,103,2533 East 11Th Avenue Unit 103,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF0FB465A3B3D5AC07890941DF0DD4340
680005,031-002533-364356,NULL,-104.95674631,39.73388927,2533,NULL,East,NULL,11Th,Avenue,NULL,Unit,203,2533 East 11Th Avenue Unit 203,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF0FB465A3B3D5AC07890941DF0DD4340
680006,031-002533-364357,NULL,-104.95670555,39.73389194,2533,NULL,East,NULL,11Th,Avenue,NULL,Unit,204,2533 East 11Th Avenue Unit 204,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C983D3DA73A3D5AC0485AF432F0DD4340
680007,031-002650-364358,NULL,-105.01966150,39.74921076,2650,NULL,West,NULL,Front View Crescent,Drive,NULL,Unit,406,2650 West Front View Crescent Drive Unit 406,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC801072942415AC0C85AB622E6DF4340
680008,031-002650-364359,NULL,-105.01966150,39.74921076,2650,NULL,West,NULL,Front View Crescent,Drive,NULL,Unit,303,2650 West Front View Crescent Drive Unit 303,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC801072942415AC0C85AB622E6DF4340
680009,031-001629-364360,NULL,-104.97811073,39.74235919,1629,NULL,North,NULL,Clarkson,Street,NULL,Apt,38,1629 North Clarkson Street Apt 38,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54BDCB5E993E5AC0084A2BA705DF4340
