710000,031-000950-394351,NULL,-104.99378435,39.74754291,950,NULL,NULL,NULL,17Th,Street,NULL,Ste,1750,950 17Th Street Ste 1750,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54DAAF299A3F5AC040D0667CAFDF4340
710001,031-000950-394352,NULL,-104.99378435,39.74754291,950,NULL,NULL,NULL,17Th,Street,NULL,Ste,1900,950 17Th Street Ste 1900,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54DAAF299A3F5AC040D0667CAFDF4340
710002,031-000950-394353,NULL,-104.99378435,39.74754291,950,NULL,NULL,NULL,17Th,Street,NULL,Ste,950,950 17Th Street Ste 950,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54DAAF299A3F5AC040D0667CAFDF4340
710003,031-000950-394354,NULL,-104.99378435,39.74754291,950,NULL,NULL,NULL,17Th,Street,NULL,Ste,1350,950 17Th Street Ste 1350,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54DAAF299A3F5AC040D0667CAFDF4340
710004,031-000950-394355,NULL,-104.99378435,39.74754291,950,NULL,NULL,NULL,17Th,Street,NULL,Ste,2050,950 17Th Street Ste 2050,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54DAAF299A3F5AC040D0667CAFDF4340
710005,031-000950-394356,NULL,-104.99378435,39.74754291,950,NULL,NULL,NULL,17Th,Street,NULL,Ste,2000,950 17Th Street Ste 2000,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C54DAAF299A3F5AC040D0667CAFDF4340
710006,031-000835-394357,NULL,-104.97596778,39.75343380,835,NULL,East,NULL,25Th,Avenue,NULL,NULL,NULL,835 East 25Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA0EACC47763E5AC010EA167F70E04340
710007,031-000837-394358,NULL,-104.97592189,39.75337783,837,NULL,East,NULL,25Th,Avenue,NULL,NULL,NULL,837 East 25Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C4CD89A87753E5AC06888D1B06EE04340
710008,031-000839-394359,NULL,-104.97589181,39.75343632,839,NULL,East,NULL,25Th,Avenue,NULL,NULL,NULL,839 East 25Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC0CE8CFF743E5AC0B86E329370E04340
710009,031-000936-394360,NULL,-104.97473807,39.75309711,936,NULL,East,NULL,25Th,Avenue,NULL,NULL,NULL,936 East 25Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CEC2AE819623E5AC0A0D6958565E04340
