720000,031-002700-404351,NULL,-104.95575196,39.75589171,2700,NULL,North,NULL,Elizabeth,Street,NULL,NULL,NULL,2700 North Elizabeth Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C90564C0A2B3D5AC08853450FC1E04340
720001,031-003951-404352,NULL,-105.01386846,39.77144806,3951,NULL,North,NULL,Vallejo,Street,NULL,NULL,NULL,3951 North Vallejo Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C30058238E3405AC0A08A55CFBEE24340
720002,031-003031-404353,NULL,-105.03195887,39.66217401,3031,NULL,South,NULL,Irving,Street,NULL,NULL,NULL,3031 South Irving Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C2038359D0B425AC048DE271EC2D44340
720003,031-002607-404354,NULL,-104.95604262,39.73859788,2607,NULL,East,NULL,14Th,Avenue,NULL,NULL,NULL,2607 East 14Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C1C1069CD2F3D5AC0287C20608ADE4340
720004,031-004911-404355,NULL,-105.04987681,39.71844041,4911,NULL,West,NULL,1St,Avenue,NULL,NULL,NULL,4911 West 1St Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD4F1802E31435AC060AFFADAF5DB4340
720005,031-000440-404356,NULL,-104.92194339,39.70859944,440,NULL,South,NULL,Holly,Street,NULL,NULL,NULL,440 South Holly Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C68FBD51E013B5AC08859DF62B3DA4340
720006,031-000483-404357,NULL,-104.91022132,39.70771765,483,NULL,South,NULL,Niagara,Street,NULL,NULL,NULL,483 South Niagara Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20F0E510413A5AC0A82FE87D96DA4340
720007,031-002122-404358,NULL,-104.95470809,39.67790675,2122,NULL,South,NULL,Clayton,Street,NULL,NULL,NULL,2122 South Clayton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C10B9F2EF193D5AC0A8C1F1A5C5D64340
720008,031-002533-404359,NULL,-105.04097216,39.67167271,2533,NULL,South,NULL,Quitman,Street,NULL,NULL,NULL,2533 South Quitman Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C6808B5499F425AC0685A005FF9D54340
720009,031-002350-404360,NULL,-104.93709515,39.67411478,2350,NULL,South,NULL,Bellaire,Street,NULL,NULL,NULL,2350 South Bellaire Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF840EA5DF93B5AC0A012A56449D64340
720010,031-006901-404361,NULL,-104.90866064,39.67443641,6901,NULL,East,NULL,Iliff,Place,NULL,NULL,NULL,6901 East Iliff Place,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C3836F87E273A5AC04080A1EE53D64340
