800000,031-004000-484351,NULL,-104.95916314,39.77306789,4000,NULL,North,NULL,York,Street,NULL,NULL,NULL,4000 North York Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC8722E9623D5AC060CF2EE4F3E24340
800001,031-001396-484352,NULL,-105.01631947,39.69206218,1396,NULL,South,NULL,Alcott,Street,NULL,NULL,NULL,1396 South Alcott Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA8B4D4600B415AC0C081507E95D84340
800002,031-001592-484353,NULL,-105.04080806,39.68807259,1592,NULL,South,NULL,Quitman,Street,NULL,NULL,NULL,1592 South Quitman Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB87B64999C425AC000F53FC312D84340
800003,031-003061-484354,NULL,-104.90856758,39.76138520,3061,NULL,North,NULL,Oneida,Street,NULL,NULL,NULL,3061 North Oneida Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C34CCA5F8253A5AC010FAFC1175E14340
800004,031-002573-484355,NULL,-105.04097333,39.67095069,2573,NULL,South,NULL,Quitman,Street,NULL,NULL,NULL,2573 South Quitman Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CCC299B4E9F425AC070F24CB6E1D54340
800005,031-002700-484356,NULL,-105.03309833,39.75683065,2700,NULL,North,NULL,King,Street,NULL,NULL,NULL,2700 North King Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C78C86E481E425AC0A8E2A0D3DFE04340
800006,031-000701-484357,NULL,-104.99959827,39.70378331,701,NULL,South,NULL,Jason,Street,NULL,NULL,NULL,701 South Jason Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC8C036BF93F5AC05813419215DA4340
800007,031-012832-484358,NULL,-104.84052361,39.79170740,12832,NULL,East,NULL,Elmendorf,Place,NULL,NULL,NULL,12832 East Elmendorf Place,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C90438C23CB355AC0705A05AB56E54340
800008,031-003690-484359,NULL,-104.91667261,39.64840461,3690,NULL,South,NULL,Hillcrest,Drive,NULL,NULL,NULL,3690 South Hillcrest Drive,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C10E7E8BEAA3A5AC070F715E5FED24340
800009,031-002917-484360,NULL,-104.97246235,39.75864167,2917,NULL,North,NULL,Marion,Street,NULL,NULL,NULL,2917 North Marion Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF462B8D23C3E5AC0C04F992B1BE14340
800010,031-001090-484361,NULL,-104.95550360,39.69672689,1090,NULL,South,NULL,Elizabeth,Street,NULL,NULL,NULL,1090 South Elizabeth Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C148695F8263D5AC0A065C3582ED94340
800011,031-001106-484362,NULL,-104.96313812,39.73376035,1106,NULL,North,NULL,Race,Street,NULL,NULL,NULL,1106 North Race Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C10700D0EA43D5AC04807EFDBEBDD4340
800012,031-002393-484363,NULL,-104.99613195,39.67317745,2393,NULL,South,NULL,Galapago,Street,NULL,NULL,NULL,2393 South Galapago Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C3CA323A2C03F5AC0880BAFAD2AD64340
800013,031-002690-484364,NULL,-104.90906569,39.75630622,2690,NULL,North,NULL,Newport,Street,NULL,NULL,NULL,2690 North Newport Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C6C56DF212E3A5AC0F02E66A4CEE04340
800014,031-019582-484365,NULL,-104.75623351,39.77429157,19582,NULL,East,NULL,42Nd,Avenue,NULL,NULL,NULL,19582 East 42Nd Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C90E1342166305AC0883E82FC1BE34340
800015,031-000940-484366,NULL,-105.03915917,39.73193037,940,NULL,North,NULL,Perry,Street,NULL,NULL,NULL,940 North Perry Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC053729581425AC0F8E6F2E4AFDD4340
800016,031-006423-484367,NULL,-104.91478901,39.66377943,6423,NULL,East,NULL,Bethany,Place,NULL,NULL,NULL,6423 East Bethany Place,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA8E02FE78B3A5AC040EB62B9F6D44340
800017,031-001236-484368,NULL,-104.98478145,39.69405584,1236,NULL,South,NULL,Sherman,Street,NULL,NULL,NULL,1236 South Sherman Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C8437C4A8063F5AC0F8C967D2D6D84340
800018,031-001238-484369,NULL,-104.93236848,39.73539213,1238,NULL,North,NULL,Dexter,Street,NULL,NULL,NULL,1238 North Dexter Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB0E9D1ECAB3B5AC0000B4E5421DE4340
800019,031-000471-484370,NULL,-105.05126018,39.72335974,471,NULL,North,NULL,Yates,Street,NULL,NULL,NULL,471 North Yates Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C3406C5D847435AC01091510D97DC4340
800020,031-002755-484371,NULL,-104.96272256,39.66685797,2755,NULL,South,NULL,Gaylord,Street,NULL,NULL,NULL,2755 South Gaylord Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB081143F9D3D5AC050F7179A5BD54340
800021,031-003919-484372,NULL,-105.04080667,39.77138052,3919,NULL,North,NULL,Quitman,Street,NULL,NULL,NULL,3919 North Quitman Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C749298939C425AC038F0CA98BCE24340
800022,031-004078-484373,NULL,-104.74083864,39.77235671,4078,NULL,North,NULL,Malta,Street,NULL,NULL,NULL,4078 North Malta Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C544482E6692F5AC0F8BCB595DCE24340
800023,031-001501-484374,NULL,-104.92384845,39.68913074,1501,NULL,South,NULL,Hudson,Street,NULL,NULL,NULL,1501 South Hudson Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB83E4655203B5AC03856A16F35D84340
800024,031-000255-484375,NULL,-104.92492086,39.72044355,255,NULL,North,NULL,Grape,Street,NULL,NULL,NULL,255 North Grape Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC03242E7313B5AC0607D807E37DC4340
