"1054032","-104.80495348","39.45134383","6117"," "," ","","Crowfoot Valley","Road"," ",""," ","6117 Crowfoot Valley Road ","Parker","80134","Douglas"
"1054033","-104.71519133","39.3664083","9191"," "," ","","Deerfield","Road"," ",""," ","9191 Deerfield Road ","Franktown","80116","Douglas"
"1054034","-104.68151027","39.37001142","11013"," "," ","","Deerfield","Road"," ",""," ","11013 Deerfield Road ","Franktown","80116","Douglas"
"1054035","-104.68721286","39.36974886","10714"," "," ","","Deerfield","Road"," ",""," ","10714 Deerfield Road ","Franktown","80116","Douglas"
"1054036","-104.69027346","39.36976683","10523"," "," ","","Deerfield","Road"," ",""," ","10523 Deerfield Road ","Franktown","80116","Douglas"
"1054037","-104.80925007","39.44624641","5794"," "," ","","Crowfoot Valley","Road"," ",""," ","5794 Crowfoot Valley Road ","Parker","80134","Douglas"
"1054038","-105.02730313","39.30881592","7671"," "," ","","Dakan","Road"," ",""," ","7671 Dakan Road ","Sedalia","80135","Douglas"
"1054039","-104.82078385","39.43792772","5055"," "," ","","Crowfoot Valley","Road"," ",""," ","5055 Crowfoot Valley Road ","Castle Rock","80108","Douglas"
"1054040","-104.69345748","39.36993188","10393"," "," ","","Deerfield","Road"," ",""," ","10393 Deerfield Road ","Franktown","80116","Douglas"
"1054041","-104.70862111","39.36690877","9634"," "," ","","Deerfield","Road"," ",""," ","9634 Deerfield Road ","Franktown","80116","Douglas"
"1054042","-104.76176441","39.3759203","1255"," ","North","","Castlewood Canyon","Road"," ",""," ","1255 North Castlewood Canyon Road ","Franktown","80116","Douglas"
"1054043","-104.694652","39.37030574","10307"," "," ","","Deerfield","Road"," ",""," ","10307 Deerfield Road ","Franktown","80116","Douglas"
"1054044","-104.85236627","39.38354214","800"," "," ","","Cinnamon","Court"," ",""," ","800 Cinnamon Court ","Castle Rock","80104","Douglas"
"1054045","-104.78350476","39.47140248","7391"," "," ","","Crowfoot Valley","Road"," ",""," ","7391 Crowfoot Valley Road ","Parker","80134","Douglas"
"1054046","-104.81269177","39.4487994","5997"," "," ","","Crowfoot Valley","Road"," ",""," ","5997 Crowfoot Valley Road ","Parker","80134","Douglas"
"1054047","-104.76034625","39.38463483","1510"," ","North","","Castlewood Canyon","Road"," ",""," ","1510 North Castlewood Canyon Road ","Franktown","80116","Douglas"
"1054048","-104.79572253","39.4506668","6234"," "," ","","Crowfoot Valley","Road"," ",""," ","6234 Crowfoot Valley Road ","Parker","80134","Douglas"
"1054049","-104.76129508","39.37074869","894"," ","North","","Castlewood Canyon","Road"," ",""," ","894 North Castlewood Canyon Road ","Franktown","80116","Douglas"
"1054050","-104.68864234","39.37009253","10675"," "," ","","Deerfield","Road"," ",""," ","10675 Deerfield Road ","Franktown","80116","Douglas"
"1054051","-104.76050037","39.37888599","1480"," ","North","","Castlewood Canyon","Road"," ",""," ","1480 North Castlewood Canyon Road ","Franktown","80116","Douglas"
"1054052","-104.70186222","39.36779811","9920"," "," ","","Deerfield","Road"," ",""," ","9920 Deerfield Road ","Franktown","80116","Douglas"
"1054053","-104.70455095","39.36703333","9812"," "," ","","Deerfield","Road"," ",""," ","9812 Deerfield Road ","Franktown","80116","Douglas"
"1054054","-104.92193959","39.24877851","1906"," "," ","","Cinnamon","Court"," ",""," ","1906 Cinnamon Court ","Larkspur","80118","Douglas"
"1054055","-104.92262387","39.24886085","1942"," "," ","","Cinnamon","Court"," ",""," ","1942 Cinnamon Court ","Larkspur","80118","Douglas"
"1054056","-104.98193347","39.30403578","5245"," "," ","","Dakan","Road"," ",""," ","5245 Dakan Road ","Sedalia","80135","Douglas"
"1054057","-104.82779103","39.42688054","4347"," "," ","","Crowfoot Valley","Road"," ",""," ","4347 Crowfoot Valley Road ","Castle Rock","80108","Douglas"
"1054058","-104.6838144","39.37052955","10879"," "," ","","Deerfield","Road"," ",""," ","10879 Deerfield Road ","Franktown","80116","Douglas"
"1054059","-104.85175613","39.38361976","804"," "," ","","Cinnamon","Court"," ",""," ","804 Cinnamon Court ","Castle Rock","80104","Douglas"
"1054060","-105.03882382","39.55172782","8173"," "," ","","Carder","Court"," ",""," ","8173 Carder Court ","Littleton","80125","Douglas"
"1054061","-104.83830297","39.41772755","3833"," "," ","","Crowfoot Valley","Road"," ",""," ","3833 Crowfoot Valley Road ","Castle Rock","80108","Douglas"
"1054062","-105.02304872","39.31335145","3371"," "," ","","Hidden Valley","Road"," ",""," ","3371 Hidden Valley Road ","Sedalia","80135","Douglas"
"1054063","-105.03325357","39.31081449","3735"," "," ","","Hidden Valley","Road"," ",""," ","3735 Hidden Valley Road ","Sedalia","80135","Douglas"
"1054064","-105.03080089","39.31079267","3561"," "," ","","Hidden Valley","Road"," ",""," ","3561 Hidden Valley Road ","Sedalia","80135","Douglas"
"1054065","-104.86070558","39.3746793","207"," "," ","","Fifth","Street"," ",""," ","207 Fifth Street ","Castle Rock","80104","Douglas"
"1054066","-104.67906566","39.45036947","11045"," "," ","","Hilltop","Road"," ",""," ","11045 Hilltop Road ","Parker","80134","Douglas"
"1054067","-104.72259874","39.48067691","8766"," "," ","","Hilltop","Road"," ",""," ","8766 Hilltop Road ","Parker","80134","Douglas"
"1054068","-104.81576757","39.54649033","12708"," "," ","","Fifth","Street"," ",""," ","12708 Fifth Street ","Parker","80134","Douglas"
"1054069","-104.72105253","39.17139965","8940"," "," ","","Jones","Road"," ",""," ","8940 Jones Road ","Larkspur","80118","Douglas"
"1054070","-104.81719222","39.54477181","12583"," "," ","","Fifth","Street"," ",""," ","12583 Fifth Street ","Parker","80134","Douglas"
"1054071","-104.70142685","39.47041185","9712"," "," ","","Hilltop","Road"," ",""," ","9712 Hilltop Road ","Parker","80134","Douglas"
"1054072","-104.67173619","39.39153247","11539"," "," ","","Grant","Road"," ",""," ","11539 Grant Road ","Franktown","80116","Douglas"
"1054073","-104.71399746","39.47776504","9221"," "," ","","Hilltop","Road"," ",""," ","9221 Hilltop Road ","Parker","80134","Douglas"
"1054074","-104.6750315","39.39192926","11345"," "," ","","Grant","Road"," ",""," ","11345 Grant Road ","Franktown","80116","Douglas"
"1054075","-105.03247342","39.31694096","3041"," "," ","","Hidden Valley","Road"," ",""," ","3041 Hidden Valley Road ","Sedalia","80135","Douglas"
"1054076","-104.97563981","39.34057041","4734"," "," ","","Jackson Creek","Road"," ",""," ","4734 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054077","-104.68475548","39.39154267","10785"," "," ","","Grant","Road"," ",""," ","10785 Grant Road ","Franktown","80116","Douglas"
"1054078","-104.71648093","39.20692253","9125"," ","East","","Greenland","Road"," ",""," ","9125 East Greenland Road ","Franktown","80116","Douglas"
"1054079","-104.90780536","39.4478727","215"," "," ","","Hidden Valley","Lane"," ",""," ","215 Hidden Valley Lane ","Castle Rock","80108","Douglas"
"1054080","-104.68366364","39.39315753","10909"," "," ","","Grant","Road"," ",""," ","10909 Grant Road ","Franktown","80116","Douglas"
"1054081","-104.88378491","39.55203927","9044"," "," ","","Forsstrom","Drive"," ",""," ","9044 Forsstrom Drive ","Lone Tree","80124","Douglas"
"1054082","-104.8096277","39.19146281","4170"," ","East","","Greenland","Road"," ",""," ","4170 East Greenland Road ","Larkspur","80118","Douglas"
"1054083","-105.0535204","39.34574743","8775"," "," ","","Jackson Creek","Road"," ",""," ","8775 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054084","-105.03655265","39.3095008","3731"," "," ","","Hidden Valley","Road"," ",""," ","3731 Hidden Valley Road ","Sedalia","80135","Douglas"
"1054085","-104.7353164","39.2067607","8030"," ","East","","Greenland","Road"," ",""," ","8030 East Greenland Road ","Franktown","80116","Douglas"
"1054086","-104.92825478","39.42030684","2367"," "," ","","Keep","Drive"," ",""," ","2367 Keep Drive ","Sedalia","80135","Douglas"
"1054087","-104.93110425","39.41931893","2288"," "," ","","Keep","Drive"," ",""," ","2288 Keep Drive ","Sedalia","80135","Douglas"
"1054088","-104.92874733","39.41929494","2327"," "," ","","Keep","Drive"," ",""," ","2327 Keep Drive ","Sedalia","80135","Douglas"
"1054089","-104.92959219","39.41863539","2301"," "," ","","Keep","Drive"," ",""," ","2301 Keep Drive ","Sedalia","80135","Douglas"
"1054090","-104.97829645","39.34141894","4736"," "," ","","Jackson Creek","Road"," ",""," ","4736 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054091","-104.79511818","39.19998623","4886"," ","East","","Greenland","Road"," ",""," ","4886 East Greenland Road ","Larkspur","80118","Douglas"
"1054092","-104.74145035","39.1992424","7758"," ","East","","Greenland","Road"," ",""," ","7758 East Greenland Road ","Franktown","80116","Douglas"
"1054093","-105.02593469","39.32092758","2603"," "," ","","Hidden Valley","Road"," ",""," ","2603 Hidden Valley Road ","Sedalia","80135","Douglas"
"1054094","-105.08457347","39.23806356","10996"," "," ","","Jackson Creek","Road"," ",""," ","10996 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054095","-104.79403299","39.20092123","4944"," ","East","","Greenland","Road"," ",""," ","4944 East Greenland Road ","Larkspur","80118","Douglas"
"1054096","-105.08631196","39.23841834","10994"," "," ","","Jackson Creek","Road"," ",""," ","10994 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054097","-104.81778459","39.54761282","12787"," "," ","","Fifth","Street"," ",""," ","12787 Fifth Street ","Parker","80134","Douglas"
"1054098","-105.08646111","39.24006047","10988"," "," ","","Jackson Creek","Road"," ",""," ","10988 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054099","-105.08837415","39.24048029","10984"," "," ","","Jackson Creek","Road"," ",""," ","10984 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054100","-105.08890306","39.2408702","10982"," "," ","","Jackson Creek","Road"," ",""," ","10982 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054101","-104.81650192","39.55091345","12990"," "," ","","Fifth","Street"," ",""," ","12990 Fifth Street ","Parker","80134","Douglas"
"1054102","-105.0895936","39.24114799","10980"," "," ","","Jackson Creek","Road"," ",""," ","10980 Jackson Creek Road ","Sedalia","80135","Douglas"
"1054103","-105.0913112","39.24196762","10978"," "," ","","Jackson Creek","Road"," ",""," ","10978 Jackson Creek Road ","Sedalia","80135","Douglas"
