1280000,059-006478-322300,NULL,105.11173000,39.59940000,6478, ,South,NULL,Kline,Court, ,NULL, ,6478 South Kline Court ,Littleton,80127,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CEC4F9D9F26475AC0B8B6A02CB9CC4340
1280001,059-006479-322301,NULL,105.11228000,39.59941000,6479, ,South,NULL,Kline,Court, ,NULL, ,6479 South Kline Court ,Littleton,80127,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CA0ABB6932F475AC028C1D469B9CC4340
1280002,059-006488-322302,NULL,105.11168000,39.59917000,6488, ,South,NULL,Kline,Court, ,NULL, ,6488 South Kline Court ,Littleton,80127,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CAC03C1C525475AC04801A585B1CC4340
1280003,059-006489-322303,NULL,105.11232000,39.59919000,6489, ,South,NULL,Kline,Court, ,NULL, ,6489 South Kline Court ,Littleton,80127,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C7044684B30475AC09828A638B2CC4340
1280004,059-006498-322304,NULL,105.11181000,39.59897000,6498, ,South,NULL,Kline,Court, ,NULL, ,6498 South Kline Court ,Littleton,80127,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C5C6D2DE227475AC048E30C0FABCC4340
1280005,059-006499-322305,NULL,105.11221000,39.59898000,6499, ,South,NULL,Kline,Court, ,NULL, ,6499 South Kline Court ,Littleton,80127,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CD833FF732E475AC0E8223A48ABCC4340
1280006,059-000315-322306,NULL,105.11125000,39.71037000,315, ,South,NULL,Kline,Street, ,NULL, ,315 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C3CD1BEB71E475AC0406DF95AEDDA4340
1280007,059-000335-322307,NULL,105.11125000,39.70995000,335, ,South,NULL,Kline,Street, ,NULL, ,335 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CE03A89B21E475AC0B09086AEDFDA4340
1280008,059-000345-322308,NULL,105.11125000,39.70974000,345, ,South,NULL,Kline,Street, ,NULL, ,345 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C1C8999A81E475AC0B06A30AAD8DA4340
1280009,059-000375-322309,NULL,105.11124000,39.70953000,375, ,South,NULL,Kline,Street, ,NULL, ,375 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C10CF9A9E1E475AC03042E3BCD1DA4340
1280010,059-000385-322310,NULL,105.11124000,39.70932000,385, ,South,NULL,Kline,Street, ,NULL, ,385 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CB80C8D941E475AC0A0CB9AE6CADA4340
1280011,059-000390-322311,NULL,105.11057000,39.70953000,390, ,South,NULL,Kline,Street, ,NULL, ,390 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CECDDE68D13475AC090743CEFD1DA4340
1280012,059-000400-322312,NULL,105.11057000,39.70911000,400, ,South,NULL,Kline,Street, ,NULL, ,400 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C1493B58813475AC04072C742C4DA4340
1280013,059-000410-322313,NULL,105.11057000,39.70891000,410, ,South,NULL,Kline,Street, ,NULL, ,410 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CB4F7908D13475AC088E69A6CBDDA4340
1280014,059-000423-322314,NULL,105.11124000,39.70911000,423, ,South,NULL,Kline,Street, ,NULL, ,423 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C74096D8A1E475AC040785D27C4DA4340
1280015,059-000430-322315,NULL,105.11057000,39.70869000,430, ,South,NULL,Kline,Street, ,NULL, ,430 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C7C777C9213475AC0505D657FB6DA4340
1280016,059-000433-322316,NULL,105.11124000,39.70890000,433, ,South,NULL,Kline,Street, ,NULL, ,433 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C7C63568F1E475AC010EF273ABDDA4340
1280017,059-000440-322317,NULL,105.11057000,39.70848000,440, ,South,NULL,Kline,Street, ,NULL, ,440 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C44F7679713475AC018D42F92AFDA4340
1280018,059-000443-322318,NULL,105.11124000,39.70869000,443, ,South,NULL,Kline,Street, ,NULL, ,443 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C84BD3F941E475AC0988BF44CB6DA4340
1280019,059-000448-322319,NULL,105.11057000,39.70824000,448, ,South,NULL,Kline,Street, ,NULL, ,448 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CB4F5179D13475AC0E0E2A390A7DA4340
1280020,059-000453-322320,NULL,105.11124000,39.70848000,453, ,South,NULL,Kline,Street, ,NULL, ,453 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C60FC18991E475AC018DAC576AFDA4340
1280021,059-000463-322321,NULL,105.11124000,39.70827000,463, ,South,NULL,Kline,Street, ,NULL, ,463 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C50421A8F1E475AC098B17889A8DA4340
1280022,059-000468-322322,NULL,105.11059000,39.70797000,468, ,South,NULL,Kline,Street, ,NULL, ,468 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CCCE106EE13475AC030EF44929EDA4340
