"1528141","-105.52518398","40.95617394","2898","","","","Red Ashby","","",""," ","2898 Red Ashby ","Livermore","80536","Larimer"
"1528142","-105.12687889","40.55782147","2267","","","","Clydesdale","","",""," ","2267 Clydesdale ","Fort Collins","80526","Larimer"
"1528143","-105.0902156","40.59465002","821","","","","Elm","","",""," ","821 Elm ","Fort Collins","80521","Larimer"
"1528144","-105.06316913","40.579043","623","","","","Endicott","","",""," ","623 Endicott ","Fort Collins","80524","Larimer"
"1528145","-105.09603324","40.63773355","3521","","","","Shields","","",""," ","3521 Shields ","Fort Collins","80524","Larimer"
"1528146","-105.32551506","40.57413","20232","","","","Buckhorn","","",""," ","20232 Buckhorn ","Bellvue","80512","Larimer"
"1528147","-105.035169","40.53631082","2354","","","","Wapiti","","",""," ","2354 Wapiti ","Fort Collins","80525","Larimer"
"1528148","-105.03491913","40.5363246","2360","","","","Wapiti","","",""," ","2360 Wapiti ","Fort Collins","80525","Larimer"
"1528149","-105.03464972","40.53632275","2366","","","","Wapiti","","",""," ","2366 Wapiti ","Fort Collins","80525","Larimer"
"1528150","-105.03438444","40.53635819","2372","","","","Wapiti","","",""," ","2372 Wapiti ","Fort Collins","80525","Larimer"
"1528152","-105.06170151","40.42153162","1041","","","","Redbud","","",""," ","1041 Redbud ","Loveland","80538","Larimer"
"1528155","-105.06076445","40.42154146","1131","","","","Redbud","","",""," ","1131 Redbud ","Loveland","80538","Larimer"
"1528156","-105.06045043","40.42154524","1143","","","","Redbud","","",""," ","1143 Redbud ","Loveland","80538","Larimer"
"1528157","-105.0604496","40.42107656","1142","","","","Redbud","","",""," ","1142 Redbud ","Loveland","80538","Larimer"
"1528158","-105.06052981","40.42077917","2767","","","","Yew","","",""," ","2767 Yew ","Loveland","80538","Larimer"
"1528159","-105.0606178","40.42054789","2697","","","","Yew","","",""," ","2697 Yew ","Loveland","80538","Larimer"
"1528160","-105.09755874","40.43068914","1429","","","","39Th","","",""," ","1429 39Th ","Loveland","80538","Larimer"
