"1660000","-108.5620668","39.04908526","1748"," "," "," ","Escalante","Street"," ",""," ","1748 Escalante Street ","Grand Junction","81503","Mesa"
"1660001","-108.56214214","39.04888166","1756"," "," "," ","Escalante","Street"," ",""," ","1756 Escalante Street ","Grand Junction","81503","Mesa"
"1660002","-108.56208113","39.04873179","724"," "," "," ","Unaweep","Avenue"," ",""," ","724 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660003","-108.56225226","39.05101446","701"," "," "," ","Grand Mesa","Avenue"," ",""," ","701 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660004","-108.56202497","39.05097617","703"," "," "," ","Grand Mesa","Avenue"," ",""," ","703 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660005","-108.56334085","39.05114547","1640"," "," "," ","Laveta","Street"," ",""," ","1640 Laveta Street ","Grand Junction","81503","Mesa"
"1660006","-108.56312775","39.05093679","1644"," "," "," ","Laveta","Street"," ",""," ","1644 Laveta Street ","Grand Junction","81503","Mesa"
"1660007","-108.56331146","39.05075242","1650"," "," "," ","Laveta","Street"," ",""," ","1650 Laveta Street ","Grand Junction","81503","Mesa"
"1660008","-108.56331493","39.05054086","1666"," "," "," ","Laveta","Street"," ",""," ","1666 Laveta Street ","Grand Junction","81503","Mesa"
"1660009","-108.56333056","39.05040353","1674"," "," "," ","Laveta","Street"," ",""," ","1674 Laveta Street ","Grand Junction","81503","Mesa"
"1660010","-108.56331769","39.05026822","1680"," "," "," ","Laveta","Street"," ",""," ","1680 Laveta Street ","Grand Junction","81503","Mesa"
"1660011","-108.56275241","39.05028679","636"," "," "," ","Santa Clara","Avenue"," ",""," ","636 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660012","-108.56260087","39.0502841","640"," "," "," ","Santa Clara","Avenue"," ",""," ","640 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660013","-108.56289816","39.05046887","1671"," "," "," ","Escalante","Street"," ",""," ","1671 Escalante Street ","Grand Junction","81503","Mesa"
"1660014","-108.56257148","39.05049207","1669"," "," "," ","Escalante","Street"," ",""," ","1669 Escalante Street ","Grand Junction","81503","Mesa"
