1730000,085-066900-035505,NULL,-107.84223249,38.50523699,66900, , ,NULL,Landfill,Road, , , ,66900 Landfill Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C98CA9BF6E6F55AC058604368AB404340
1730001,085-066801-035506,NULL,-107.84259819,38.50403655,66801, , ,NULL,La Plaza,Court, , , ,66801 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C680775F4ECF55AC0D8A9371284404340
1730002,085-066804-035507,NULL,-107.84230193,38.50359319,66804, , ,NULL,La Plaza,Court, , , ,66804 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CF020D819E8F55AC078C1118B75404340
1730003,085-066809-035508,NULL,-107.84228214,38.50413612,66809, , ,NULL,La Plaza,Court, , , ,66809 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C48B4D5C6E7F55AC08076765587404340
1730004,085-066860-035509,NULL,-107.84127046,38.50360768,66860, , ,NULL,La Plaza,Court, , , ,66860 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CA4049133D7F55AC038CB9E0476404340
1730005,085-066867-035510,NULL,-107.84122450,38.50402861,66867, , ,NULL,La Plaza,Court, , , ,66867 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C689FC872D6F55AC03887A9CF83404340
1730006,085-066880-035511,NULL,-107.84086136,38.50451413,66880, , ,NULL,La Plaza,Road, , , ,66880 La Plaza Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CAC62AF7FD0F55AC0787E7BB893404340
1730007,085-001808-035512,NULL,-107.86093816,38.49001559,1808, , ,NULL,Locust,Road, , , ,1808 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CE892D96F19F75AC0D8C6E7A1B83E4340
1730008,085-001810-035513,NULL,-107.86071528,38.49011778,1810, , ,NULL,Locust,Road, , , ,1810 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C00FF05C915F75AC078B82BFBBB3E4340
1730009,085-001812-035514,NULL,-107.86051614,38.49025505,1812, , ,NULL,Locust,Road, , , ,1812 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C2058C98512F75AC0503EB37AC03E4340
1730010,085-001820-035515,NULL,-107.85974191,38.49079481,1820, , ,NULL,Locust,Road, , , ,1820 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C18B266D605F75AC0E8B8842AD23E4340
1730011,085-002091-035516,NULL,-107.85561041,38.49278766,2091, , ,NULL,Locust,Road, , , ,2091 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C5416AD25C2F65AC098EBB877133F4340
1730012,085-001985-035517,NULL,-107.85820150,38.49247852,1985, , ,NULL,Locust,Road, , , ,1985 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C5CB77D99ECF65AC090447E56093F4340
1730013,085-001001-035518,NULL,-107.87657230,38.48924842,1001, ,North,NULL,7Th,Street, , , ,1001 North 7Th Street ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CDCA5309619F85AC018BF6A7E9F3E4340
1730014,085-001000-035519,NULL,-107.87632878,38.48890763,1000, ,North,NULL,7Th,Street, ,NULL, ,1000 North 7Th Street ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C70BEC69815F85AC01088B453943E4340
1730015,085-066914-035520,NULL,-107.84021860,38.50368090,66914, , ,NULL,La Plaza,Court, , , ,66914 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C1093B9F7C5F55AC0E88BD56A78404340
1730016,085-066878-035521,NULL,-107.84095829,38.50359633,66878, , ,NULL,La Plaza,Court, , , ,66878 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C302E3D16D2F55AC0388F64A575404340
1730017,085-066855-035522,NULL,-107.84179881,38.50457734,66855, , ,NULL,La Plaza,Road, , , ,66855 La Plaza Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C44379CDBDFF55AC0B032AFCA95404340
1730018,085-066859-035523,NULL,-107.84150854,38.50478724,66859, , ,NULL,La Plaza,Road, , , ,66859 La Plaza Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C7C9E271ADBF55AC048DE71AB9C404340
1730019,085-000208-035524,NULL,-107.87020535,38.48718385,208, ,North,NULL,Stough,Avenue, , , ,208 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C98EB4045B1F75AC0686E8CD75B3E4340
