"1749998","-106.81301201","39.19376045","549"," "," "," ","Race","Street"," "," "," ","549 Race Street ","Aspen","81611","Pitkin"
"1749999","-106.8490803","39.1248241","461"," "," "," ","Conundrum Creek","Road"," "," "," ","461 Conundrum Creek Road ","Pitkin County","81611","Pitkin"
"1750000","-107.08379322","39.38702089","231"," "," "," ","Robinson","Street"," "," "," ","231 Robinson Street ","Basalt","81621","Pitkin"
"1750001","-106.94470242","39.20956015","130"," "," "," ","Wood","Road"," "," "," ","130 Wood Road ","Snowmass Village","81615","Pitkin"
"1750002","-106.94789621","39.20955928","45"," "," "," ","Wood","Road"," "," "," ","45 Wood Road ","Snowmass Village","81615","Pitkin"
"1750003","-106.87535511","39.21164628","103"," "," "," ","Oak Ridge","Drive"," "," "," ","103 Oak Ridge Drive ","Pitkin County","81611","Pitkin"
"1750004","-106.83687315","39.20704866","1310"," "," "," ","Red Butte","Drive"," "," "," ","1310 Red Butte Drive ","Aspen","81611","Pitkin"
"1750005","-106.83934349","39.20871085","1443"," "," "," ","Red Butte","Drive"," "," "," ","1443 Red Butte Drive ","Aspen","81611","Pitkin"
"1750006","-106.81058486","39.18985096","996"," "," "," ","Gibson","Avenue"," "," "," ","996 Gibson Avenue ","Aspen","81611","Pitkin"
"1750007","-106.81194339","39.1901901","936"," "," "," ","King","Street"," "," "," ","936 King Street ","Aspen","81611","Pitkin"
"1750008","-106.83910262","39.20293064","1345"," "," "," ","Sierra Vista","Drive"," "," "," ","1345 Sierra Vista Drive ","Aspen","81611","Pitkin"
"1750009","-106.85170863","39.18654231","65"," "," "," ","Glen Garry","Drive"," "," "," ","65 Glen Garry Drive ","Pitkin County","81611","Pitkin"
"1750010","-106.83525843","39.20511226","1232"," "," "," ","Mtn View","Drive"," "," "," ","1232 Mtn View Drive ","Aspen","81611","Pitkin"
"1750011","-106.980105","39.31693266","1020"," "," "," ","Snowmass Creek","Road"," "," "," ","1020 Snowmass Creek Road ","Pitkin County","81654","Pitkin"
"1750012","-106.837542","39.20111405","1225"," "," "," ","Alta Vista","Drive"," "," "," ","1225 Alta Vista Drive ","Aspen","81611","Pitkin"
"1750013","-106.8222192","39.20090527","250"," "," "," ","Willoughby","Way"," "," "," ","250 Willoughby Way ","Pitkin County","81611","Pitkin"
"1750014","-107.03072621","39.3627641","129"," "," "," ","Emma","Road"," "," "," ","129 Emma Road ","Basalt","81621","Pitkin"
"1750015","-106.99460267","39.28824858","2322"," "," "," ","Lazy O","Road"," "," "," ","2322 Lazy O Road ","Pitkin County","81654","Pitkin"
"1750016","-106.84989845","39.20478317","285"," "," "," ","Relay","Road"," "," "," ","285 Relay Road ","Aspen","81611","Pitkin"
"1750017","-106.81570493","39.18300023","1011"," "," "," ","Ute","Avenue"," "," "," ","1011 Ute Avenue ","Aspen","81611","Pitkin"
"1750018","-106.81519175","39.18264669","1001"," "," "," ","Ute","Avenue"," "," "," ","1001 Ute Avenue ","Aspen","81611","Pitkin"
"1750019","-106.85032872","39.20383337","345"," "," "," ","Relay","Road"," "," "," ","345 Relay Road ","Aspen","81611","Pitkin"
"1750020","-106.80782969","39.19655815","877"," "," "," ","Spruce","Street"," "," "," ","877 Spruce Street ","Pitkin County","81611","Pitkin"
