"1849998","-104.72371326","40.42547518","720",""," "," ","27Th","Avenue"," ","Unit","4","720 27Th Avenue Unit 4","Greeley","80634","Weld"
"1849999","-104.72362651","40.42548023","722",""," "," ","27Th","Avenue"," ","Unit","5","722 27Th Avenue Unit 5","Greeley","80634","Weld"
"1850000","-104.72350158","40.42547599","724",""," "," ","27Th","Avenue"," ","Unit","6","724 27Th Avenue Unit 6","Greeley","80634","Weld"
"1850001","-104.72341423","40.42547541","726",""," "," ","27Th","Avenue"," ","Unit","7","726 27Th Avenue Unit 7","Greeley","80634","Weld"
"1850002","-104.72332757","40.42548045","728",""," "," ","27Th","Avenue"," ","Unit","8","728 27Th Avenue Unit 8","Greeley","80634","Weld"
"1850003","-104.72323712","40.42546622","730",""," "," ","27Th","Avenue"," ","Unit","9","730 27Th Avenue Unit 9","Greeley","80634","Weld"
"1850004","-104.72339351","40.42527316","742",""," "," ","27Th","Avenue"," ","Unit","2","742 27Th Avenue Unit 2","Greeley","80634","Weld"
"1850005","-104.72331359","40.42527262","744",""," "," ","27Th","Avenue"," ","Unit","3","744 27Th Avenue Unit 3","Greeley","80634","Weld"
"1850006","-104.72390289","40.42527847","734",""," "," ","27Th","Avenue"," ","Unit","2","734 27Th Avenue Unit 2","Greeley","80634","Weld"
"1850007","-104.72382297","40.42527793","736",""," "," ","27Th","Avenue"," ","Unit","3","736 27Th Avenue Unit 3","Greeley","80634","Weld"
"1850008","-104.72347741","40.42523117","740",""," "," ","27Th","Avenue"," ","Unit","1","740 27Th Avenue Unit 1","Greeley","80634","Weld"
"1850009","-104.72323048","40.42522952","746",""," "," ","27Th","Avenue"," ","Unit","4","746 27Th Avenue Unit 4","Greeley","80634","Weld"
"1850010","-104.72398679","40.42523648","732",""," "," ","27Th","Avenue"," ","Unit","1","732 27Th Avenue Unit 1","Greeley","80634","Weld"
"1850011","-104.72373986","40.42523483","738",""," "," ","27Th","Avenue"," ","Unit","4","738 27Th Avenue Unit 4","Greeley","80634","Weld"
"1850012","-104.6912118","40.42471122","804",""," "," ","8Th","Street"," ","Unit","1","804 8Th Street Unit 1","Greeley","80631","Weld"
"1850013","-104.69112136","40.42468794","804",""," "," ","8Th","Street"," ","Unit","2","804 8Th Street Unit 2","Greeley","80631","Weld"
"1850014","-104.69103271","40.42470605","804",""," "," ","8Th","Street"," ","Unit","3","804 8Th Street Unit 3","Greeley","80631","Weld"
"1850015","-104.6912126","40.42464934","804",""," "," ","8Th","Street"," ","Unit","5","804 8Th Street Unit 5","Greeley","80631","Weld"
"1850016","-104.69103351","40.42463901","804",""," "," ","8Th","Street"," ","Unit","7","804 8Th Street Unit 7","Greeley","80631","Weld"
"1850017","-104.69112416","40.42457691","804",""," "," ","8Th","Street"," ","Unit","6","804 8Th Street Unit 6","Greeley","80631","Weld"
"1850018","-104.6910343","40.42457251","804",""," "," ","8Th","Street"," ","Unit","8","804 8Th Street Unit 8","Greeley","80631","Weld"
"1850019","-104.7153461","40.42475088","2218",""," "," ","8Th","Street"," ",""," ","2218 8Th Street ","Greeley","80631","Weld"
"1850020","-104.73964994","40.42491511","807",""," "," ","37Th","Avenue"," ","Unit","A4","807 37Th Avenue Unit A4","Greeley","80634","Weld"
