"2029003","-106.01121523","37.22577976","13447","","","Co Rd","County Road T ","","","","","13447 County Road T ","LA JARA","81140","Conejos"
"2029004","-105.94541386","37.22634192","17025","","","Co Rd","County Road T ","","","","","17025 County Road T ","LA JARA","81140","Conejos"
"2029005","-105.96483125","37.22628465","16008",""," ","Co Rd","County Rd T"," "," "," "," ","16008 County Rd T ","LA JARA"," ","Conejos"
"2029006","-106.00535664","37.22620397","13801","","","Co Rd","County Road T ","","","","","13801 County Road T ","LA JARA","81140","Conejos"
"2029007","-105.95686946","37.22664794","16519","","","Co Rd","County Road T ","","","","","16519 County Road T ","LA JARA","81140","Conejos"
"2029008","-105.95562734","37.22685705","16521","","","Co Rd","County Road T ","","","","","16521 County Road T ","LA JARA","81140","Conejos"
"2029009","-105.94468076","37.22744264","16262","","","Co Rd","County Road 17 ","","","","","16262 County Road 17 ","LA JARA","81140","Conejos"
"2029010","-105.89409337","37.22846845","16391","","","Co Rd","County Road 20 ","","","","","16391 County Road 20 ","SANFORD","81151","Conejos"
"2029011","-105.9446907","37.22823882","16264","","","Co Rd","County Road 17 ","","","","","16264 County Road 17 ","LA JARA","81140","Conejos"
"2029012","-106.02125858","37.22790302","16181","","","Co Rd","County Road 13 ","","","","","16181 County Road 13 ","LA JARA","81140","Conejos"
"2029013","-105.97511207","37.22846519","16419","","","Hwy","Highway 285","","","","","16419 Highway 285 ","LA JARA","81140","Conejos"
"2029014","-105.97508566","37.22878255","16421","","","Hwy","Highway 285","","","","","16421 Highway 285 ","LA JARA","81140","Conejos"
"2029015","-106.17521248","37.22712196","4474","","","Co Rd","County Road 8 ","","","","","4474 County Road 8 ","","","Conejos"
"2029016","-105.97937312","37.22904466","16201","","","Co Rd","County Road 15.25 ","","","","","16201 County Road 15.25 ","LA JARA","81140","Conejos"
"2029017","-105.97508974","37.22909965","16423","","","Hwy","Highway 285","","","","","16423 Highway 285 ","LA JARA","81140","Conejos"
"2029018","-105.97506175","37.22929504","16425","","","Hwy","Highway 285","","","","","16425 Highway 285 ","LA JARA","81140","Conejos"
"2029019","-105.97959077","37.22935999","16269","","","Co Rd","County Road 15.25 ","","","","","16269 County Road 15.25 ","LA JARA","81140","Conejos"
"2029020","-105.97619207","37.22940769","15419","","","Co Rd","County Road T.37 ","","","","","15419 County Road T.37 ","LA JARA","81140","Conejos"
"2029021","-105.97837083","37.22939449","15333","","","Co Rd","County Road T.37 ","","","","","15333 County Road T.37 ","LA JARA","81140","Conejos"
"2029022","-105.97868001","37.22970907","16300","","","Co Rd","County Road 15.25 ","","","","","16300 County Road 15.25 ","LA JARA","81140","Conejos"
"2029023","-105.97587098","37.23053253","16269","","","Co Rd","County Road 15.5 ","","","","","16269 County Road 15.5 ","LA JARA","81140","Conejos"
"2029024","-105.97584267","37.23070353","16325","","","Co Rd","County Road 15.5 ","","","","","16325 County Road 15.5 ","LA JARA","81140","Conejos"
"2029025","-105.97886413","37.23077614","15310","","","Co Rd","County Road T.4 ","","","","","15310 County Road T.4 ","LA JARA","81140","Conejos"
"2029026","-105.97697774","37.23118205","15397","","","Co Rd","County Road T.4 ","","","","","15397 County Road T.4 ","LA JARA","81140","Conejos"
"2029027","-105.97798479","37.23119813","5375","","","Co Rd","County Road T.4 ","","","","","5375 County Road T.4 ","LA JARA","81140","Conejos"
"2029028","-105.97442927","37.23230086","16713","","","Hwy","Highway 285","","","","","16713 Highway 285 ","LA JARA","81140","Conejos"
"2029029","-105.98057141","37.23237222","15150","","","Co Rd","County Road T.5 ","","","","","15150 County Road T.5 ","LA JARA","81140","Conejos"
"2029030","-105.97473718","37.2325179","15574","","","Co Rd","County Road T.5 ","","","","","15574 County Road T.5 ","LA JARA","81140","Conejos"
"2029031","-105.97333517","37.23293586","15571","","","Co Rd","County Road T.5 ","","","","","15571 County Road T.5 ","LA JARA","81140","Conejos"
"2029032","-105.96743634","37.23532082","16693","","","Co Rd","County Road 16 ","","","","","16693 County Road 16 ","LA JARA","81140","Conejos"
"2029033","-105.93880652","37.23555154","17514","","","Co Rd","County Road U ","","","","","17514 County Road U ","LA JARA","81140","Conejos"
