"2059998","-104.79489528","39.00627815","12105"," ","","","Ambassador","Drive","","APT","556","12105 Ambassador Drive APT 556","Colorado Springs","80921","ElPaso"
"2059999","-104.69709333","38.9000944","4879"," ","","","Kerry Lynn","View","","UNIT","12","4879 Kerry Lynn View UNIT 12","Colorado Springs","80922","ElPaso"
"2060000","-104.69709411","38.90002528","4879"," ","","","Kerry Lynn","View","","UNIT","11","4879 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060001","-104.69711274","38.9007302","4895"," ","","","Kerry Lynn","View","","UNIT","11","4895 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060002","-104.69782277","38.90085625","6967"," ","","","Stetson Ranch","Point","","UNIT","15","6967 Stetson Ranch Point UNIT 15","Colorado Springs","80922","ElPaso"
"2060003","-104.69750106","38.90084688","6967"," ","","","Stetson Ranch","Point","","UNIT","11","6967 Stetson Ranch Point UNIT 11","Colorado Springs","80922","ElPaso"
"2060004","-104.69753534","38.90078276","6967"," ","","","Stetson Ranch","Point","","UNIT","22","6967 Stetson Ranch Point UNIT 22","Colorado Springs","80922","ElPaso"
"2060005","-104.69746067","38.90077748","6967"," ","","","Stetson Ranch","Point","","UNIT","21","6967 Stetson Ranch Point UNIT 21","Colorado Springs","80922","ElPaso"
"2060006","-104.69784752","38.90061108","4848"," ","","","Kerry Lynn","View","","UNIT","22","4848 Kerry Lynn View UNIT 22","Colorado Springs","80922","ElPaso"
"2060007","-104.69774792","38.90065211","4848"," ","","","Kerry Lynn","View","","UNIT","11","4848 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060008","-104.697855","38.90048957","4848"," ","","","Kerry Lynn","View","","UNIT","24","4848 Kerry Lynn View UNIT 24","Colorado Springs","80922","ElPaso"
"2060009","-104.69692142","38.90222373","4775"," ","","","Kerry Lynn","View","","UNIT","11","4775 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060010","-104.69690375","38.90216759","4775"," ","","","Kerry Lynn","View","","UNIT","21","4775 Kerry Lynn View UNIT 21","Colorado Springs","80922","ElPaso"
"2060011","-104.69711655","38.90116699","4751"," ","","","Kerry Lynn","View","","UNIT","11","4751 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060012","-104.6981833","38.90010934","4855"," ","","","Kerry Lynn","View","","UNIT","11","4855 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060013","-104.69740536","38.90025332","4880"," ","","","Kerry Lynn","View","","UNIT","25","4880 Kerry Lynn View UNIT 25","Colorado Springs","80922","ElPaso"
"2060014","-104.69749215","38.90026584","4880"," ","","","Kerry Lynn","View","","UNIT","15","4880 Kerry Lynn View UNIT 15","Colorado Springs","80922","ElPaso"
"2060015","-104.69740911","38.90064709","4888"," ","","","Kerry Lynn","View","","UNIT","25","4888 Kerry Lynn View UNIT 25","Colorado Springs","80922","ElPaso"
"2060016","-104.69748967","38.90040094","4888"," ","","","Kerry Lynn","View","","UNIT","11","4888 Kerry Lynn View UNIT 11","Colorado Springs","80922","ElPaso"
"2060017","-104.69749175","38.90035209","4888"," ","","","Kerry Lynn","View","","UNIT","22","4888 Kerry Lynn View UNIT 22","Colorado Springs","80922","ElPaso"
"2060018","-104.69784855","38.90065518","4848"," ","","","Kerry Lynn","View","","UNIT","21","4848 Kerry Lynn View UNIT 21","Colorado Springs","80922","ElPaso"
"2060019","-104.69785142","38.90040135","4848"," ","","","Kerry Lynn","View","","UNIT","25","4848 Kerry Lynn View UNIT 25","Colorado Springs","80922","ElPaso"
"2060020","-104.69785039","38.90035725","4848"," ","","","Kerry Lynn","View","","UNIT","26","4848 Kerry Lynn View UNIT 26","Colorado Springs","80922","ElPaso"
"2060021","-104.69775079","38.90039827","4848"," ","","","Kerry Lynn","View","","UNIT","15","4848 Kerry Lynn View UNIT 15","Colorado Springs","80922","ElPaso"
"2060022","-104.82699965","38.84358148","34"," ","West","","Monument","Street","","UNIT","33","34 West Monument Street UNIT 33","Colorado Springs","80903","ElPaso"
"2060023","-104.82700635","38.84335747","28"," ","West","","Monument","Street","","UNIT","31","28 West Monument Street UNIT 31","Colorado Springs","80903","ElPaso"
"2060024","-104.69817621","38.90129334","4823"," ","","","Kerry Lynn","View","","UNIT","21","4823 Kerry Lynn View UNIT 21","Colorado Springs","80922","ElPaso"
"2060025","-104.69819412","38.90172467","4815"," ","","","Kerry Lynn","View","","UNIT","12","4815 Kerry Lynn View UNIT 12","Colorado Springs","80922","ElPaso"
"2060026","-104.69818524","38.90197063","4807"," ","","","Kerry Lynn","View","","UNIT","21","4807 Kerry Lynn View UNIT 21","Colorado Springs","80922","ElPaso"
"2060027","-104.69819358","38.90190753","4807"," ","","","Kerry Lynn","View","","UNIT","22","4807 Kerry Lynn View UNIT 22","Colorado Springs","80922","ElPaso"
"2060028","-104.6971232","38.90122615","4751"," ","","","Kerry Lynn","View","","UNIT","21","4751 Kerry Lynn View UNIT 21","Colorado Springs","80922","ElPaso"
"2060029","-104.85387677","38.85544598","2175"," ","","","King","Street","","","A","2175 King Street A","Colorado Springs","80904","ElPaso"
"2060030","-104.85369711","38.85556464","2136"," ","","","Friendship","Place","","","3","2136 Friendship Place 3","Colorado Springs","80904","ElPaso"
"2060031","-104.85262692","38.85539622","2112"," ","","","Friendship","Place","","","1","2112 Friendship Place 1","Colorado Springs","80904","ElPaso"
