2189998,039-005476-436311,NULL,-104.72674157,38.87499340,5476, ,,,Alteza,Drive,,,,5476 Alteza Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CC8F212EF822E5AC068C1A4C8FF6F4340
2189999,039-002909-436312,NULL,-104.73038972,38.87406666,2909, ,,,La Estrella,Court,,,,2909 La Estrella Court ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C847A8AB4BE2E5AC0A8058B6AE16F4340
2190000,039-005310-436313,NULL,-104.73044473,38.87502450,5310, ,,,Escapardo,Way,,,,5310 Escapardo Way ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C6CDE429BBF2E5AC070C27CCD00704340
2190001,039-005040-436314,NULL,-104.73458261,38.87503683,5040, ,,,Santiago,Way,,,,5040 Santiago Way ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C408AC766032F5AC068F8F53401704340
2190002,039-003131-436315,NULL,-104.72713027,38.87954267,3131, ,,,Vail Pass,Drive,,,,3131 Vail Pass Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C5852654D892E5AC018F4A4DA94704340
2190003,039-003133-436316,NULL,-104.72715779,38.87949945,3133, ,,,Vail Pass,Drive,,,,3133 Vail Pass Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C58B2D2C0892E5AC050011B7093704340
2190004,039-003084-436317,NULL,-104.73181412,38.87535996,3084, ,,,Teardrop,Circle,,,,3084 Teardrop Circle ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C24BEDF0AD62E5AC0905C92CB0B704340
2190005,039-004995-436318,NULL,-104.73485583,38.87536412,4995, ,,,Windward,Circle,,,,4995 Windward Circle ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C8093C3E0072F5AC0F8BE75EE0B704340
2190006,039-002980-436319,NULL,-104.73351134,38.87443778,2980, ,,,Inspiration,Drive,,,,2980 Inspiration Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C40EA88D9F12E5AC09898BF93ED6F4340
2190007,039-002924-436320,NULL,-104.73016922,38.87442695,2924, ,,,La Estrella,Circle,,,,2924 La Estrella Circle ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CE4E3AA17BB2E5AC0A00DE238ED6F4340
