2469992,119-000330-035641,NULL,-105.31073502,38.97417126,330,NULL,,,Commanche,Trail,,NULL, ,330 Commanche Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C8C4D2515E3535AC0D876C8A4B17C4340
2469993,119-000093-035642,NULL,-105.26921388,38.97542144,93,NULL,,,Kiowa Creek,Trail,,NULL, ,93 Kiowa Creek Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C0856D7CC3A515AC08803149CDA7C4340
2469994,119-000523-035643,NULL,-105.31327111,38.97497386,523,NULL,,,Navajo,Trail,,NULL, ,523 Navajo Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C346D4AA20C545AC0E02A8EF1CB7C4340
2469995,119-000397-035644,NULL,-105.31550419,38.97454172,397,NULL,,,Navajo,Trail,,NULL, ,397 Navajo Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CA4D1813831545AC0B86F7EC8BD7C4340
2469996,119-001450-035645,NULL,-105.05978635,39.00798170,1450,NULL,,,Chippewa,Trail,,NULL, ,1450 Chippewa Trail ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CB092218AD3435AC0F815588B05814340
2469997,119-001401-035646,NULL,-105.06058071,39.00757493,1401,NULL,,,Blackfoot,Trail,,NULL, ,1401 Blackfoot Trail ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C9C46ED8DE0435AC0D0031A37F8804340
2469998,119-001002-035647,NULL,-105.30499704,38.98037944,1002,NULL,,,Commanche,Trail,,NULL, ,1002 Commanche Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CF043511285535AC00862D2127D7D4340
2469999,119-000773-035648,NULL,-105.26601486,38.97764376,773,NULL,,,Arapahoe Creek,Trail,,NULL, ,773 Arapahoe Creek Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C4C48356306515AC01851466E237D4340
2470000,119-000148-035649,NULL,-105.05186829,39.00735208,148,NULL,East,,Kelleys,Road,,NULL, ,148 East Kelleys Road ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C789B64CF51435AC0F8B9B9E9F0804340
2470001,119-002029-035650,NULL,-105.05481661,39.00806998,2029,NULL,,,Sunshine,Circle,,NULL, ,2029 Sunshine Circle ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CACBB851D82435AC0385ADB6F08814340
2470002,119-000175-035651,NULL,-105.25371364,38.99952333,175,NULL,,,Needle Creek,Road,,NULL, ,175 Needle Creek Road ,Divide,80814,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C947020D83C505AC078D26461F07F4340
2470003,119-000070-035652,NULL,-105.29299270,38.99929929,70,NULL,,,Commanche Creek,Circle,,NULL, ,70 Commanche Creek Circle ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C1CF87164C0525AC0E8FEF909E97F4340
2470004,119-001340-035653,NULL,-105.26471538,38.99914105,1340,NULL,,,Conestoga Creek,Road,,NULL, ,1340 Conestoga Creek Road ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CC4AAC218F1505AC0E82E90DAE37F4340
2470005,119-000400-035654,NULL,-105.05752362,39.00803616,400,NULL,,,Wildflower,Drive,,NULL, ,400 Wildflower Drive ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CAC838A77AE435AC060C83A5407814340
2470006,119-001400-035655,NULL,-105.05969982,39.00760312,1400,NULL,,,Chippewa,Trail,,NULL, ,1400 Chippewa Trail ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C08EA351FD2435AC078059A23F9804340
2470007,119-001750-035656,NULL,-105.29199500,38.99772889,1750,NULL,,,Vagabond Creek,Drive,,NULL, ,1750 Vagabond Creek Drive ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C1CE6CB0BB0525AC0C8438A94B57F4340
2470008,119-000343-035657,NULL,-105.30440144,38.99765514,343,NULL,,,Cheyenne Creek,Drive,,NULL, ,343 Cheyenne Creek Drive ,Lake George,80827,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C90A230507B535AC0487EE329B37F4340
2470009,119-000342-035658,NULL,-105.25599215,38.99924513,342,NULL,,,Beaver Creek,Circle,,NULL, ,342 Beaver Creek Circle ,Divide,80814,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C74D9E22C62505AC0D09BB943E77F4340
2470010,119-000066-035659,NULL,-105.29625291,38.99872081,66,NULL,,,Antelope Creek,Circle,,NULL, ,66 Antelope Creek Circle ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C9C18C6CEF5525AC0B83E5E15D67F4340
2470011,119-001359-035660,NULL,-105.27093314,38.99766485,1359,NULL,,,Kiowa,Road,,NULL, ,1359 Kiowa Road ,Divide,80814,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CF4ECF3F756515AC038F84E7BB37F4340
2470012,119-000649-035661,NULL,-105.30556642,38.99776105,649,NULL,,,Cheyenne Creek,Drive,,NULL, ,649 Cheyenne Creek Drive ,Lake George,80827,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CD83C76668E535AC0887C53A2B67F4340
2470013,119-000777-035662,NULL,-105.04510763,39.00069988,777,NULL,North,,Rampart Range,Road,,NULL, ,777 North Rampart Range Road ,Woodland Park,80863,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C1C35210BE3425AC0902609EF16804340
2470014,119-000100-035663,NULL,-105.29904711,38.99954495,100,NULL,,,Mission Creek,Circle,,NULL, ,100 Mission Creek Circle ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C705A7D9623535AC06845BF16F17F4340
2470015,119-001405-035664,NULL,-105.26749252,38.99940643,1405,NULL,,,Conestoga Creek,Road,,NULL, ,1405 Conestoga Creek Road ,Divide,80814,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C042FF0981E515AC0D0FBC38CEC7F4340
2470016,119-000112-035665,NULL,-105.25123291,38.99845533,112,NULL,,,Needle Creek,Road,,NULL, ,112 Needle Creek Road ,Divide,80814,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C5CF5313314505AC000066762CD7F4340
2470017,119-000223-035666,NULL,-105.25615912,38.97381346,223,NULL,,,Shavano Creek,Trail,,NULL, ,223 Shavano Creek Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CB8093DE964505AC068F658EBA57C4340
2470018,119-000132-035667,NULL,-105.31193613,38.97297287,132,NULL,,,Commanche,Trail,,NULL, ,132 Commanche Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010CF8F9F1C2F6535AC0D8DC08608A7C4340
2470019,119-000126-035668,NULL,-105.26219266,38.97154942,126,NULL,,,Horn Creek,Trail,,NULL, ,126 Horn Creek Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C5CB1B4C3C7505AC0D01D43BB5B7C4340
2470020,119-000138-035669,NULL,-105.26176599,38.97143170,138,NULL,,,Horn Creek,Trail,,NULL, ,138 Horn Creek Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C906A21C6C0505AC0E074B4DF577C4340
2470021,119-000370-035670,NULL,-105.25829938,38.97357122,370,NULL,,,Shavano Creek,Trail,,NULL, ,370 Shavano Creek Trail ,Florissant,80816,NULL,NULL,2019-04-24 00:00:00.0000000,ACTIVE,NO CHANGE,Teller,0xAD100000010C546B1FFA87505AC050F750FB9D7C4340
